WHOREGION,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,35,2020-08-24T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,36,2020-08-31T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,37,2020-09-07T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,38,2020-09-14T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,39,2020-09-21T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,40,2020-09-28T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,41,2020-10-05T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,42,2020-10-12T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,43,2020-10-19T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,44,2020-10-26T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,45,2020-11-02T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,46,2020-11-09T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,47,2020-11-16T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,48,2020-11-23T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,49,2020-11-30T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,50,2020-12-07T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,51,2020-12-14T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,52,2020-12-21T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,53,2020-12-28T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,1,2021-01-04T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,2,2021-01-11T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,3,2021-01-18T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,4,2021-01-25T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,5,2021-02-01T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,6,2021-02-08T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,7,2021-02-15T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,8,2021-02-22T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,9,2021-03-01T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,10,2021-03-08T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,11,2021-03-15T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,12,2021-03-22T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,13,2021-03-29T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,14,2021-04-05T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,15,2021-04-12T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,16,2021-04-19T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2021,17,2021-04-26T05:00:00.000Z,,0,,,,,,,,,,,,0,1
